title,link,source,thumbnail
Indonesia ‘s experiment to create villages for sustainable fish farming (Video),https://news.google.com/articles/CBMic2h0dHBzOi8vd3d3LnNvY2lhbG5ld3MueHl6LzIwMjMvMTIvMTQvaW5kb25lc2lhLXMtZXhwZXJpbWVudC10by1jcmVhdGUtdmlsbGFnZXMtZm9yLXN1c3RhaW5hYmxlLWZpc2gtZmFybWluZy12aWRlby_SAXNodHRwczovL3d3dy5zb2NpYWxuZXdzLnh5ei8yMDIzLzEyLzE0L2luZG9uZXNpYS1zLWV4cGVyaW1lbnQtdG8tY3JlYXRlLXZpbGxhZ2VzLWZvci1zdXN0YWluYWJsZS1maXNoLWZhcm1pbmctdmlkZW8v?hl=en-ID&gl=ID&ceid=ID%3Aen,Social News XYZ,https://lh3.googleusercontent.com/proxy/vc8oofR1aq074zTu6w_GpZ3YkoRSjip8DbevHxl-WqEg51kwspe9cCkUasf008lLKPxgSCN1hu0wgao-7xI8oW9wsPhB1ClSoZ-O6tbIBRwRB_RJiU05f5CGFcECBqPFMOFV3v_UmXxHSjpD6YOaBslpU_-0cKdFgq5Tf_VS5g2Y1vtj_vGWbGMCG6s_3DMX9bCaInaKnCE_2-dmSvjKfJ7rMjuLAw=s0-w200-h112-dcBTOGRE3jTKUC
"Peace Corps Volunteers to Support English Language Learning in East Java, West Java, and East Nusa Tenggara",https://news.google.com/articles/CBMigwFodHRwczovL2lkLnVzZW1iYXNzeS5nb3YvcGVhY2UtY29ycHMtdm9sdW50ZWVycy10by1zdXBwb3J0LWVuZ2xpc2gtbGFuZ3VhZ2UtbGVhcm5pbmctaW4tZWFzdC1qYXZhLXdlc3QtamF2YS1hbmQtZWFzdC1udXNhLXRlbmdnYXJhL9IBAA?hl=en-ID&gl=ID&ceid=ID%3Aen,US Embassy and Consulates in Indonesia,https://lh3.googleusercontent.com/proxy/CIjiKpvZuW9i1fPLBAZ58staRYq9GFRzNW-FuaNleouBp7gHONwyXqzwWk47Zuc38R31c7dLErnvEXdJWja6KqIjCBDIK7NwnjBfyR94P0C9x0Yaq3mk3Ol4u5dxeh6V77XgK1Wjg_051ES46C5swdMGI8BGQAdoj4ACqSo3P2YRlshsNkMqdeu3zTg_lLdQkygXu1WcgEbSHU0vJXexDe7Bobzp89eGr_ENUtlHWk0ltpfpBTP3GDmsgaFN6RK8oWDKvSwWLxAiMxI=s0-w200-h112-dcBWCahSUJ
PMV AJCS Tokyo_231214,https://news.google.com/articles/CBMiZWh0dHBzOi8vd3d3Lm1mYS5nb3Yuc2cvTmV3c3Jvb20vUHJlc3MtU3RhdGVtZW50cy1UcmFuc2NyaXB0cy1hbmQtUGhvdG9zLzIwMjMvMTIvUE1WLUFKQ1MtVG9reW9fMjMxMjE00gEA?hl=en-ID&gl=ID&ceid=ID%3Aen,Ministry of Foreign Affairs Singapore,https://lh3.googleusercontent.com/proxy/b3QxSCts6qKsZxXnx1x71u-P2sudt6WWHOBHecWvf9Ecqd0jSrsUT7C-zteE5JzqLCARpe1IqO4nd7M4nFYUyPpIMys629w0eVd5VK06lkcSZ8pdgsoXcNOgnflZfc44w9LosHzW-A=s0-w280-h168-dcnWOCjCkD
Japan is a cuddlier friend to South-East Asia than America or China,https://news.google.com/articles/CBMibWh0dHBzOi8vd3d3LmVjb25vbWlzdC5jb20vYXNpYS8yMDIzLzEyLzE0L2phcGFuLWlzLWEtY3VkZGxpZXItZnJpZW5kLXRvLXNvdXRoLWVhc3QtYXNpYS10aGFuLWFtZXJpY2Etb3ItY2hpbmHSAQA?hl=en-ID&gl=ID&ceid=ID%3Aen,The Economist,No Thumbnail
Secretary-General of ASEAN to attend Commemorative Summit on 50th Year of ASEAN-Japan Friendship and Cooperation,https://news.google.com/articles/CBMiiwFodHRwczovL2FzZWFuLm9yZy9zZWNyZXRhcnktZ2VuZXJhbC1vZi1hc2Vhbi10by1hdHRlbmQtdGhlLWNvbW1lbW9yYXRpdmUtc3VtbWl0LW9uLXRoZS01MHRoLXllYXItb2YtYXNlYW4tamFwYW4tZnJpZW5kc2hpcC1hbmQtY29vcGVyYXRpb24v0gEA?hl=en-ID&gl=ID&ceid=ID%3Aen,ASEAN,No Thumbnail
"Jokowi to Visit Japan, Attends ASEAN-Japan Summit, AZEC this Weekend",https://news.google.com/articles/CBMiYmh0dHBzOi8vZW4udGVtcG8uY28vcmVhZC8xODA4NzMyL2pva293aS10by12aXNpdC1qYXBhbmF0dGVuZHMtYXNlYW4tamFwYW4tc3VtbWl0LWF6ZWMtdGhpcy13ZWVrZW5k0gEA?hl=en-ID&gl=ID&ceid=ID%3Aen,Tempo.co English,No Thumbnail
"Under Secretary Allen Opens the U.S.-ASEAN Center in Washington, D.C.",https://news.google.com/articles/CBMiX2h0dHBzOi8vYXNlYW4udXNtaXNzaW9uLmdvdi91bmRlci1zZWNyZXRhcnktYWxsZW4tb3BlbnMtdGhlLXUtcy1hc2Vhbi1jZW50ZXItaW4td2FzaGluZ3Rvbi1kLWMv0gEA?hl=en-ID&gl=ID&ceid=ID%3Aen,U.S. Mission to ASEAN,https://lh3.googleusercontent.com/proxy/364LmlxUQrviQPWqIV0lhZt93irT12egv60QL-B_SR_mJxXLsW5J2JAA9YJSl9zn6rUhLCsX6oP2o2VYzg6JIMujDXtA2-aDSWJZ6hjtRA5HIi6PID3kZjiBgh40yEAlfDsTf3wg0G0Qq_dY_XfllQ=s0-w200-h112-dcgUKWSiUI
Indonesia state power firm PLN signs 14 clean energy deals during COP28,https://news.google.com/articles/CBMiiQFodHRwczovL3d3dy5yZXV0ZXJzLmNvbS9zdXN0YWluYWJpbGl0eS9jbGltYXRlLWVuZXJneS9pbmRvbmVzaWEtc3RhdGUtcG93ZXItZmlybS1wbG4tc2lnbnMtMTQtY2xlYW4tZW5lcmd5LWRlYWxzLWR1cmluZy1jb3AyOC0yMDIzLTEyLTE1L9IBAA?hl=en-ID&gl=ID&ceid=ID%3Aen,Reuters.com,https://lh3.googleusercontent.com/proxy/f3dg6igPaA32xkAAXZoaiLTcvIuxpeNIzBQTWg3OXZyaX5vFQ9upKOy0t0oB-47N89DQLbxeKQNXWHI3ndB7WDmVN4Zowy_y1CJVhE10qrWdHmcpIHbGRbMAAAjA_ycDRsWJKnVqCa7bdBSyEOnixl9D257_Zp0=s0-w200-h112-p-df
European Stock Futures Rally on Fed Pivot Before ECB Decision,https://news.google.com/articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9ldXJvcGVhbi1zdG9jay1mdXR1cmVzLXJhbGx5LWZlZC0wNjA1NTEwNjYuaHRtbNIBAA?hl=en-ID&gl=ID&ceid=ID%3Aen,Yahoo Finance,https://lh3.googleusercontent.com/proxy/r5LuVM72_NPr9qi1Q4AO3ZMqa4xKga5yH8zWhKek35FpHsY2iUjLk-_HKw-9ZVA5SSmQWjT9wyKwXSkgBe3STlFQ6nD79cw2DxJea24urWJXiRI5xgIK6j_r_8PSpKWdQTI8m6dh73Q0SJsEAK-bbksJNi1uc259xuB-S1DMe53vjlUnwHthVGEv9yLxGT4coVfddf2tGbgtAdZ__CxAcB477VGqzwh3ckf2iW1pmYvLNDa37dqqk4tjP7d23xFlO6u5QJEQRvopWjjNEUEFG0A=s0-w280-h168-dchQOCpUKkQ6AD
Fed and ECB Stand Firm on Interest Rates,https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy92aWRlb3MvMjAyMy0xMi0xNC9mZWQtYW5kLWVjYi1zdGFuZC1maXJtLW9uLWludGVyZXN0LXJhdGVz0gEA?hl=en-ID&gl=ID&ceid=ID%3Aen,Bloomberg,No Thumbnail
